Percentage	Pearson_Correlation	Spearman_Correlation
0.05	0.875091	-0.0727394
0.06	0.880236	-0.0727394
0.07	0.886314	-0.0727394
0.08	0.890162	-0.0727394
0.09	0.891297	-0.0727394
0.1	0.894844	-0.0727394
0.11	0.896104	-0.0727394
0.12	0.898149	-0.0727394
0.13	0.898138	-0.0727394
0.14	0.898744	-0.0727394
0.15	0.898793	-0.0727394
0.16	0.899495	-0.0727394
0.17	0.899689	-0.0727394
0.18	0.899525	-0.0727394
0.19	0.899468	-0.0727394
0.2	0.900075	-0.0727394
0.21	0.900701	-0.0727394
0.22	0.900767	-0.0727394
0.23	0.900822	-0.0727394
0.24	0.90067	-0.0727394
0.25	0.900526	-0.0727394
0.26	0.901013	-0.0727394
0.27	0.900722	-0.0727394
0.28	0.900763	-0.0727394
0.29	0.900721	-0.0727394
0.3	0.900675	-0.0727394
0.31	0.900788	-0.0727394
0.32	0.900647	-0.0727394
0.33	0.900807	-0.0727394
0.34	0.900807	-0.0727394
0.35	0.90113	-0.0727394
0.36	0.90106	-0.0727394
0.37	0.900694	-0.0727394
0.38	0.900602	-0.0727394
0.39	0.900635	-0.0727394
0.4	0.900439	-0.0727394
0.41	0.900523	-0.0727394
0.42	0.900459	-0.0727394
0.43	0.900048	-0.0727394
0.44	0.899885	-0.0727394
0.45	0.899723	-0.0727394
0.46	0.899859	-0.0727394
0.47	0.899704	-0.0727394
0.48	0.899524	-0.0727394
0.49	0.899747	-0.0727394
0.5	0.899679	-0.0727394
0.51	0.899726	-0.0727394
0.52	0.899595	-0.0727394
0.53	0.89949	-0.0727394
0.54	0.899675	-0.0727394
0.55	0.899766	-0.0727394
0.56	0.899991	-0.0727394
0.57	0.900088	-0.0727394
0.58	0.900513	-0.0727394
0.59	0.90059	-0.0727394
0.6	0.900765	-0.0727394
0.61	0.900513	-0.0727394
0.62	0.900692	-0.0727394
0.63	0.900847	-0.0727394
0.64	0.900989	-0.0727394
0.65	0.900964	-0.0727394
0.66	0.901401	-0.0727394
0.67	0.901445	-0.0727394
0.68	0.901573	-0.0727394
0.69	0.901652	-0.0727394
0.7	0.901693	-0.0727394
0.71	0.901729	-0.0727394
0.72	0.901643	-0.0727394
0.73	0.90192	-0.0727394
0.74	0.902016	-0.0727394
0.75	0.902126	-0.0727394
0.76	0.902221	-0.0727394
0.77	0.902441	-0.0727394
0.78	0.902552	-0.0727394
0.79	0.902657	-0.0727394
0.8	0.902796	-0.0727394
0.81	0.902903	-0.0727394
0.82	0.903058	-0.0727394
0.83	0.903284	-0.0727394
0.84	0.903295	-0.0727394
0.85	0.903323	-0.0727394
0.86	0.903397	-0.0727394
0.87	0.903487	-0.0727394
0.88	0.903491	-0.0727394
0.89	0.903465	-0.0727394
0.9	0.903531	-0.0727394
0.91	0.903534	-0.0727394
0.92	0.903573	-0.0727394
0.93	0.903603	-0.0727394
0.94	0.903479	-0.0727394
0.95	0.903345	-0.0727394
0.96	0.903135	-0.0727394
0.97	0.902648	-0.0727394
0.98	0.901711	-0.0727394
0.99	0.880882	-0.0727394
1	0.890733	-0.0727394
