Percentage	Pearson_Correlation	Spearman_Correlation
0.05	0.998181	1
0.06	0.998143	1
0.07	0.998025	1
0.08	0.997907	1
0.09	0.998039	1
0.1	0.997816	1
0.11	0.997848	1
0.12	0.997768	1
0.13	0.997626	1
0.14	0.997595	1
0.15	0.997348	1
0.16	0.997138	1
0.17	0.997043	1
0.18	0.996895	1
0.19	0.997004	1
0.2	0.997149	1
0.21	0.997074	1
0.22	0.997112	1
0.23	0.997123	1
0.24	0.997125	1
0.25	0.997202	1
0.26	0.997186	1
0.27	0.997133	1
0.28	0.997151	1
0.29	0.997236	1
0.3	0.997192	1
0.31	0.99717	1
0.32	0.997122	1
0.33	0.997135	1
0.34	0.99712	1
0.35	0.997066	1
0.36	0.997175	1
0.37	0.997181	1
0.38	0.997257	1
0.39	0.997253	1
0.4	0.997213	1
0.41	0.99716	1
0.42	0.99713	1
0.43	0.997146	1
0.44	0.997098	1
0.45	0.997106	1
0.46	0.997102	1
0.47	0.99714	1
0.48	0.997088	1
0.49	0.997128	1
0.5	0.997147	1
0.51	0.997135	1
0.52	0.997113	1
0.53	0.99714	1
0.54	0.997069	1
0.55	0.997098	1
0.56	0.9971	1
0.57	0.997117	1
0.58	0.997111	1
0.59	0.997133	1
0.6	0.997131	1
0.61	0.997134	1
0.62	0.997155	1
0.63	0.997179	1
0.64	0.997204	1
0.65	0.997253	1
0.66	0.997285	1
0.67	0.997283	1
0.68	0.997218	1
0.69	0.997167	1
0.7	0.997135	1
0.71	0.997122	1
0.72	0.997182	1
0.73	0.997179	1
0.74	0.997367	1
0.75	0.997411	1
0.76	0.997497	1
0.77	0.997743	1
0.78	0.997904	1
0.79	0.998101	1
0.8	0.998177	1
0.81	0.998243	1
0.82	0.998331	1
0.83	0.998387	1
0.84	0.998416	1
0.85	0.998458	1
0.86	0.998445	1
0.87	0.998443	1
0.88	0.998394	1
0.89	0.998384	1
0.9	0.998352	1
0.91	0.998321	1
0.92	0.998276	1
0.93	0.998215	1
0.94	0.998146	1
0.95	0.998049	1
0.96	0.997993	1
0.97	0.997899	1
0.98	0.997811	1
0.99	0.997728	1
1	0.99758	1
