Percentage	Pearson_Correlation	Spearman_Correlation
0.05	0.946312	0.999884
0.06	0.946834	1
0.07	0.946968	1
0.08	0.94673	0.999924
0.09	0.946129	0.999981
0.1	0.946153	0.999996
0.11	0.946398	0.999999
0.12	0.946321	0.999997
0.13	0.946588	0.999999
0.14	0.946555	0.999997
0.15	0.946468	0.999988
0.16	0.947027	0.999989
0.17	0.947365	0.999981
0.18	0.947487	0.999982
0.19	0.947806	0.999979
0.2	0.947852	0.999978
0.21	0.948192	0.999965
0.22	0.948353	0.999979
0.23	0.948327	0.999967
0.24	0.94868	0.999957
0.25	0.948913	0.999947
0.26	0.949256	0.999939
0.27	0.949655	0.999926
0.28	0.950009	0.999896
0.29	0.950303	0.999916
0.3	0.950414	0.999892
0.31	0.950475	0.999902
0.32	0.950701	0.999891
0.33	0.950908	0.999868
0.34	0.951233	0.999869
0.35	0.951647	0.999858
0.36	0.95197	0.999831
0.37	0.95221	0.999838
0.38	0.952275	0.999835
0.39	0.952478	0.999831
0.4	0.952615	0.999843
0.41	0.952649	0.998238
0.42	0.952698	0.998238
0.43	0.952845	0.998238
0.44	0.953139	0.998238
0.45	0.953382	0.998238
0.46	0.953653	0.998238
0.47	0.953872	0.998238
0.48	0.95404	0.998238
0.49	0.954401	0.998238
0.5	0.954603	0.998238
0.51	0.954647	0.998238
0.52	0.954748	0.998238
0.53	0.954968	0.998238
0.54	0.955253	0.998238
0.55	0.955525	0.998238
0.56	0.955785	0.998238
0.57	0.955978	0.998238
0.58	0.956198	0.998238
0.59	0.956503	0.998238
0.6	0.956606	0.998238
0.61	0.956941	0.998238
0.62	0.957136	0.998238
0.63	0.957339	0.998238
0.64	0.957586	0.998238
0.65	0.957763	0.998238
0.66	0.958024	0.998238
0.67	0.958184	0.998238
0.68	0.958445	0.998238
0.69	0.958616	0.998238
0.7	0.958852	0.998238
0.71	0.959021	0.998238
0.72	0.959233	0.998238
0.73	0.959423	0.998238
0.74	0.959558	0.998238
0.75	0.959685	0.998238
0.76	0.959831	0.998238
0.77	0.959962	0.998238
0.78	0.960055	0.998238
0.79	0.960173	0.998238
0.8	0.960307	0.998238
0.81	0.960478	0.998238
0.82	0.960506	0.998238
0.83	0.960615	0.998238
0.84	0.960695	0.998238
0.85	0.960811	0.998238
0.86	0.961038	0.998238
0.87	0.961189	0.998238
0.88	0.961366	0.998238
0.89	0.961471	0.998238
0.9	0.961548	0.998238
0.91	0.961607	0.998238
0.92	0.961602	0.998238
0.93	0.961657	0.998238
0.94	0.961569	0.998238
0.95	0.961573	0.998238
0.96	0.961452	0.998238
0.97	0.96131	0.998238
0.98	0.961195	0.998238
0.99	0.96103	0.998238
1	0.960734	0.998238
